OBJECTID,CT20,LABEL,ShapeSTArea,ShapeSTLength
5366,143101,1431.01,14733761.9667871,18487.3960526991
5367,143102,1431.02,4210680.78797139,8677.41842745205
5368,143200,1432.00,10301572.9592493,14060.0675217573
5369,143301,1433.01,6246426.56502341,13124.0822363662
5370,143302,1433.02,11157767.61362,16035.8149750892
5371,143401,1434.01,11938069.828114,14981.8998450963
5372,143402,1434.02,6976620.25085962,10582.3430894049
5373,143500,1435.00,13327076.1644753,18907.63929487
5374,143602,1436.02,13131129.2439715,16670.54591842
5375,143603,1436.03,5655785.73488888,13494.0653405938
5376,143605,1436.05,3544582.58980277,8243.7047537418
5377,143606,1436.06,2619296.69973889,12326.4827842105
5378,143700,1437.00,35385350.8234822,37368.0936305376
5379,143801,1438.01,15406756.291782,21428.1249401631
5380,143802,1438.02,12536514.8575563,31513.4254734747
5381,143901,1439.01,56976916.4982369,42046.852126584
5382,143902,1439.02,27199022.8327848,34224.6936839782
5383,181000,1810.00,44543384.7022426,37799.8395529202
5384,181300,1813.00,15510655.4393505,21437.9497991728
5385,181400,1814.00,9463031.47830186,14429.0464635044
5386,181500,1815.00,11778970.2670315,17895.1986094837
5387,181600,1816.00,13454684.0987093,17952.9050944291
5388,183101,1831.01,10418565.6969203,17031.5539737143
5389,183103,1831.03,7081005.55387947,19689.5537872837
5390,183104,1831.04,7177217.01440233,16087.0880877534
5391,183220,1832.20,5760984.86548882,13315.7455015712
5392,183221,1832.21,7607138.70842469,12827.5737460352
5393,183222,1832.22,9995845.45724165,16899.8414403695
5394,183300,1833.00,5826344.37330465,10264.3216493252
5395,183401,1834.01,5223873.28682248,10480.9560554863
5396,183402,1834.02,5526588.29474154,11220.1370045079
5397,183510,1835.10,5386503.60021762,10456.9049521311
5398,183520,1835.20,4603630.95202176,9181.87254043155
5399,183610,1836.10,4075528.43114087,9804.40067431831
5400,183620,1836.20,5569786.87923971,9445.37317485641
5401,183701,1837.01,5929404.43808538,12531.3449565062
5402,183702,1837.02,9605920.26800147,17111.3101744818
5403,183810,1838.10,4896689.87588785,10289.066625255
5404,183820,1838.20,3322202.84593626,10487.5727045868
5405,185101,1851.01,8773447.40229732,18663.5971410892
5406,185102,1851.02,15746381.4739751,27682.7302030683
5407,185202,1852.02,12978068.8509666,17415.3512104101
5408,185203,1852.03,5899570.43038637,11949.3508202413
5409,185204,1852.04,10372194.6532529,17362.7070074748
5410,185310,1853.10,4532369.88870227,12164.1790826227
5411,185320,1853.20,5986319.31193916,12738.9477747102
5412,186100,1861.00,14499171.9078003,21970.2463285239
5413,186201,1862.01,5618755.44707824,12105.6487361623
5414,186202,1862.02,4394286.67518622,11049.8744788353
5415,186203,1862.03,9070402.67449948,15825.685372679
5416,186301,1863.01,12491036.3939128,17918.9490824217
5417,186302,1863.02,18139341.7824797,17905.2193543815
5418,186401,1864.01,10370782.4435541,17895.7020932626
5419,186403,1864.03,5872994.31027974,11992.5629375448
5420,186404,1864.04,4317771.04667992,8867.00099955289
5421,187101,1871.01,8483179.30822292,12910.6073876656
5422,187102,1871.02,23579786.2722692,38378.699193659
5423,187200,1872.00,10239846.9214938,15559.6561392002
5424,187300,1873.00,12580918.2960271,19454.9128909011
5425,188100,1881.00,22692976.7764978,25959.5356529281
5426,188201,1882.01,8354825.63427731,17041.6062032628
5427,188202,1882.02,8177322.12051432,11794.8835918301
5428,188300,1883.00,9933262.07336617,12689.0294094389
5429,189101,1891.01,4254115.40554515,8256.53744052244
5430,189102,1891.02,6761960.41290173,12162.0144290773
5431,189201,1892.01,3505709.45632208,7950.84190483786
5432,189202,1892.02,11136029.9893953,17379.2878964233
5433,189300,1893.00,20450347.9804344,25805.7447185947
5434,189400,1894.00,15572866.8109913,29227.4157560968
5435,189501,1895.01,3691369.6970889,9296.86458548784
5436,189502,1895.02,2683324.51923697,7299.36695585695
5437,189600,1896.00,11523874.014348,20188.0454219261
5438,189702,1897.02,15699524.84769,23121.7282913547
5439,189703,1897.03,36424459.5491896,43353.9644357957
5440,189704,1897.04,10477813.7595129,25872.9266493104
5441,189801,1898.01,4421018.98828117,10113.9342739998
5442,189802,1898.02,3433588.16352062,7873.14634626943
5443,189903,1899.03,903792.735017465,4148.74618009678
5444,189904,1899.04,1717859.99941035,5282.07905679136
5445,189905,1899.05,2780937.66504548,6976.50622787638
5446,189906,1899.06,2182591.85013763,5943.37463385694
5447,189907,1899.07,1746429.87295449,5286.48505851098
5448,190101,1901.01,2415023.44497934,6832.13017688886
5449,190102,1901.02,4049647.98965877,8766.92723050032
5450,190201,1902.01,2441732.82016751,6951.86166664795
5451,190202,1902.02,2275158.77164319,6643.15470369676
5452,190302,1903.02,2581477.36949556,9434.62482770734
5453,190303,1903.03,1760119.24644439,5299.29128147606
5454,190401,1904.01,1796752.67599757,5352.4489434378
5455,190402,1904.02,1691439.60770975,5221.39163020486
5456,190510,1905.10,3427014.77382389,7981.11783119282
5457,190520,1905.20,2625881.61399497,6612.05771197565
5458,190701,1907.01,4762957.71881592,9891.61421204491
5459,190702,1907.02,2152792.97704313,5909.32843018442
5460,190801,1908.01,3489474.25099895,7925.32966217445
5461,190802,1908.02,5239268.6526445,9249.70040599801
5462,190901,1909.01,5276300.5883365,9290.82274906133
5463,190902,1909.02,5241761.85308803,9257.0568847762
5464,191000,1910.00,6982346.09048351,11184.1566866459
5465,191110,1911.10,2935770.35103873,7507.32333467293
5466,191120,1911.20,4086485.78154263,8373.0321543175
5467,191201,1912.01,6159853.67518041,9951.82100823902
5468,191203,1912.03,2208777.33800444,5985.14698302625
