geoid,geoid20,year,denom_occupied_housing,overcrowded_hh_count,overcrowded_hh_pct
1400000US06037189202,6037189202,2022,1367,55,4.0234089
1400000US06037189300,6037189300,2022,1398,0,0
1400000US06037189400,6037189400,2022,1540,0,0
1400000US06037189501,6037189501,2022,1447,44,3.0407741
1400000US06037189502,6037189502,2022,1259,13,1.0325655
1400000US06037189600,6037189600,2022,2006,75,3.7387836
1400000US06037189702,6037189702,2022,1363,51,3.7417462
1400000US06037189703,6037189703,2022,1018,71,6.9744596
1400000US06037189704,6037189704,2022,811,21,2.5893958
1400000US06037189801,6037189801,2022,1388,0,0
1400000US06037189802,6037189802,2022,1105,32,2.8959277
1400000US06037189903,6037189903,2022,1636,93,5.6845965
1400000US06037189904,6037189904,2022,1453,98,6.7446661
1400000US06037189905,6037189905,2022,1386,135,9.7402601
1400000US06037189906,6037189906,2022,1466,118,8.0491133
1400000US06037189907,6037189907,2022,1357,95,7.0007367
1400000US06037190101,6037190101,2022,1207,66,5.4681029
1400000US06037190102,6037190102,2022,1460,100,6.8493152
1400000US06037190201,6037190201,2022,1456,175,12.019231
1400000US06037190202,6037190202,2022,2205,21,.95238096
1400000US06037190302,6037190302,2022,1217,207,17.009039
1400000US06037190303,6037190303,2022,1564,65,4.1560102
1400000US06037190401,6037190401,2022,1584,150,9.469697
1400000US06037190402,6037190402,2022,1161,79,6.8044791
1400000US06037190510,6037190510,2022,1712,335,19.567757
1400000US06037190520,6037190520,2022,1527,195,12.770138
1400000US06037190701,6037190701,2022,767,92,11.994785
1400000US06037190702,6037190702,2022,720,44,6.1111112
1400000US06037190801,6037190801,2022,1338,175,13.079223
1400000US06037190802,6037190802,2022,1528,106,6.9371729
1400000US06037190901,6037190901,2022,1227,419,34.148331
1400000US06037190902,6037190902,2022,1608,239,14.863184
1400000US06037191000,6037191000,2022,3071,238,7.7499185
1400000US06037191110,6037191110,2022,1005,96,9.5522385
1400000US06037191120,6037191120,2022,1524,319,20.931759
1400000US06037191201,6037191201,2022,1668,266,15.947242
1400000US06037191203,6037191203,2022,994,146,14.688128
1400000US06037191204,6037191204,2022,695,144,20.719425
1400000US06037191301,6037191301,2022,932,120,12.875537
1400000US06037191302,6037191302,2022,836,150,17.942583
1400000US06037191410,6037191410,2022,1341,344,25.652498
1400000US06037191420,6037191420,2022,1095,324,29.589041
1400000US06037191500,6037191500,2022,1815,585,32.231403
1400000US06037191610,6037191610,2022,1417,390,27.522936
1400000US06037191620,6037191620,2022,912,371,40.679825
1400000US06037191710,6037191710,2022,1229,280,22.782751
1400000US06037191720,6037191720,2022,1407,471,33.475479
1400000US06037191810,6037191810,2022,1194,143,11.976549
1400000US06037191820,6037191820,2022,1935,100,5.1679587
1400000US06037191901,6037191901,2022,2203,256,11.620518
1400000US06037191902,6037191902,2022,1553,13,.83708948
1400000US06037192001,6037192001,2022,1056,59,5.587121
1400000US06037192002,6037192002,2022,1310,18,1.3740458
1400000US06037192300,6037192300,2022,1429,0,0
1400000US06037192410,6037192410,2022,1891,28,1.480698
1400000US06037192420,6037192420,2022,1379,183,13.270486
1400000US06037192510,6037192510,2022,1234,221,17.909239
1400000US06037192520,6037192520,2022,1574,534,33.926304
1400000US06037192610,6037192610,2022,1469,343,23.349216
1400000US06037192620,6037192620,2022,1181,356,30.143946
1400000US06037192700,6037192700,2022,1258,164,13.036566
1400000US06037194101,6037194101,2022,1747,29,1.6599885
1400000US06037194102,6037194102,2022,1240,0,0
1400000US06037194200,6037194200,2022,1663,66,3.9687312
1400000US06037194300,6037194300,2022,1385,0,0
1400000US06037194401,6037194401,2022,1442,0,0
1400000US06037194402,6037194402,2022,2119,16,.75507313
1400000US06037194500,6037194500,2022,990,0,0
1400000US06037195100,6037195100,2022,2177,0,0
1400000US06037195201,6037195201,2022,1557,15,.96339113
1400000US06037195202,6037195202,2022,1453,26,1.7894013
1400000US06037195300,6037195300,2022,1449,149,10.282954
1400000US06037195400,6037195400,2022,2316,63,2.7202072
